event_id_no_cnty,event_date,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,region,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities
38285,09 June 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Luhansk,Novoaidarsky,,Krymske,48.7491,38.8058,Ministry of Defence of Ukraine; JFO HQ press centre,"On 9 June 2020, the NAF rebel forces fired 120mm mortars, grenade launchers and heavy machine guns at the governmental positions near Krymske, Luhansk. During the day, one Ukrainian serviceman was wounded at an unspecified location.",0
38286,09 June 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Luhansk,Popasniansky,,Novotoshkivske,48.7234,38.635,JFO HQ press centre; Ministry of Defence of Ukraine,"On 9 June 2020, the NAF rebel forces fired grenade launchers and heavy machine guns at the governmental positions near Novotoshkivske, Luhansk. During the day, one Ukrainian serviceman was wounded at an unspecified location.",0
38232,09 June 2020,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Ukraine),,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Avdiivka Municipality,,Avdiivka,48.1394,37.7497,24 Channel; UA:Pershiy,"On 9 June 2020, a vehicle with servicemen of the Ukrainian military forces exploded on a mine in Avdiivka, Donetsk. 10 soldiers were wounded.",0
38272,08 June 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Luhansk,Popasniansky,,Orikhove,48.7191,38.5695,Ministry of Defence of Ukraine; JFO HQ press centre; OSCE SMM-Ukraine,"On 8 June 2020, the NAF rebel forces fired 120mm mortars, grenade launchers and small arms at the governmental positions near Orikhove, Luhansk. The OSCE SMM observed a total of 11 explosions/bursts of fire involving heavy machineguns/unknown weapons near Orikhove. During the day, one Ukrainian soldier was wounded at an unspecified location.",0
38274,08 June 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Luhansk,Popasniansky,,Novooleksandrivka,48.6191,38.4281,Ministry of Defence of Ukraine; OSCE SMM-Ukraine; JFO HQ press centre,"On 8 June 2020, the NAF rebel forces fired grenade launchers at the governmental positions near Novooleksandrivka, Luhansk. The OSCE SMM observed a total of 140 explosions/bursts of fire involving heavy machineguns/unknown weapons near Novooleksandrivka. During the day, one Ukrainian soldier was wounded at an unspecified location.",0
38275,08 June 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Luhansk,Popasniansky,,Khutir Vilny,48.6828,38.5508,Ministry of Defence of Ukraine; JFO HQ press centre,"On 8 June 2020, the NAF rebel forces fired grenade launchers and small arms at the governmental positions near Khutir Vilny, Luhansk. During the day, one Ukrainian soldier was wounded at an unspecified location.",0
38276,08 June 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Bakhmut,,Travneve,48.4254,38.1016,JFO HQ press centre; Ministry of Defence of Ukraine,"On 8 June 2020, the NAF rebel forces fired grenade launchers and small arms at the governmental positions near Travneve, Donetsk. During the day, one Ukrainian soldier was wounded at an unspecified location.",0
38327,08 June 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Europe,Ukraine,Donetsk,Dokuchaevsk Municipality,,Dokuchaevsk,47.7492,37.6777,DPR Armed Forces Press Service,"On 8 June 2020, the Ukrainian Forces fired grenade launchers at the positions of the Donbass People's Militia in the area of Dokuchaevsk, Donetsk.",0
38328,08 June 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Europe,Ukraine,Donetsk,Bakhmut,,Dolomytne,48.416,38.1346,DPR Armed Forces Press Service,"On 8 June 2020, the Ukrainian Forces fired anti-tank guided missiles at the positions of the Donbass People's Militia in the area of Dolomytne, Donetsk.",0
38329,08 June 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Europe,Ukraine,Donetsk,Yasynuvata,,Spartak,48.079,37.7635,DPR Armed Forces Press Service,"On 8 June 2020, the Ukrainian Forces fired 82mm mortars at the positions of the Donbass People's Militia in the area of Spartak, Donetsk.",0
