api_event_id,api_id,analyst_id,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,region,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities,timestamp
7234905,1,TAS,Protests,Peaceful protest,Protesters (Iraq),,,,Middle East,Iraq,Qadissiya,Diwaniya,,Diwaniya,31.9929,44.9255,Al Mirbad,"On 24 September 2020, a number of protesters organized a demonstration in the city of Diwaniya demanding elections and accountability for the killing of protesters. [size=no report]",0,1601329862
7234912,1,TAS,Protests,Peaceful protest,Protesters (Iraq),Labour Group (Iraq),,,Middle East,Iraq,Thi-Qar,Nassriya,,Nassriya,31.058,46.2573,Al Mirbad,"On 24 September 2020, dozens of employees of the Municipalities Department of Thi Qar Governorate organized a demonstration in the city of Nassriya to demand the retirement of the current director of the department and the appointment of a current employee as the new department director. [size=dozens]",0,1601329862
7234913,1,TAS,Protests,Peaceful protest,Protesters (Iraq),,,,Middle East,Iraq,Wassit,Kut,,Kut,32.5056,45.8247,Al Mirbad,"On 24 September 2020, dozens of citizens of the city of Kut, Wasit governorate, organized a demonstration to protest against the development of a railway connecting Iraq to neighboring countries. [size=dozens]",0,1601329862
7234915,1,TAS,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,Civilians (Iraq),,Middle East,Iraq,Kirkuk,Kirkuk,,Kirkuk,35.4681,44.3922,Al Sumaria TV,"On 24 September 2020, an unidentified armed person shot and killed a civilian near the Azadi police station in the city of Kirkuk.",1,1601329862
7234916,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,,,Middle East,Iraq,Dahuk,Zakho,,Haftanin,37.3128,43.0203,ANF News,"On 24 September 2020, Turkish army forces carried out airstrikes in Bektorya area (Kurdish name) in Haftanin region of Dahuk, Northern Iraq. No information on casualties was reported by source, but the airstrikes reportedly set the area ablaze.",0,1601329862
7234924,1,TAS,Explosions/Remote violence,Air/drone strike,Global Coalition Against Daesh,Military Forces of the United States (2017-),Islamic State (Iraq),,Middle East,Iraq,Kirkuk,Kirkuk,,Shay Valley,35.3977,44.2173,Basnews,"On 24 September 2020, US-led Global Coalition Against Daesh forces conducted airstrikes in Shay Valley, Kirkuk, destroying IS positions (one cave and three shelters). No fatalities/injuries reported by the source.",0,1601329862
7240045,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Middle East,Iraq,Dahuk,Amedi,,Bamerni,37.1216,43.2717,People's Defense Forces,"On 24 September 2020, Turkish Army forces carried out airstrikes targeting PKK militants in Yekmale village (Kurdish name) in Bamerne (Bamerni) subdistrict of Dahuk, Northern Iraq. No information on casualties was reported by source.",0,1601941241
7240046,1,TAS,Battles,Armed clash,PKK: Kurdistan Workers Party,,Military Forces of Turkey (2016-),,Middle East,Iraq,Dahuk,Zakho,,Haftanin,37.3128,43.0203,People's Defense Forces,"On 24 September 2020, PKK militants attacked Turkish army units positioned in Tepe Dupisk area (Kurdish name) in Haftanin region of Dahuk, Northern Iraq, killing 3 soldiers. Turkish artillery strikes also accompanied the clashes reportedly.",3,1601941241
7234998,1,TAS,Strategic developments,Other,Government of Iraq (2020-),,Military Forces of Iraq (2020-) Popular Mobilization Forces,,Middle East,Iraq,Baghdad,Baghdad,,Baghdad,33.3248,44.4213,Shafaaq News,"Non-violent activity: On 24 September 2020, the Prime Minister of Iraq issued an order to close the National Security and PMF offices at all Iraqi airports.",0,1601329862
7234751,1,TAS,Battles,Armed clash,Military Forces of Iraq (2020-) Popular Mobilization Forces,Quwat Wa'ad Allah; Military Forces of Iraq (2020-) Counter-Terrorism Service; Global Coalition Against Daesh,Islamic State (Iraq),,Middle East,Iraq,Sala al-Din,Shirqat,,Qaryat Kanus al Ulya,35.6763,43.2902,Al Ahad TV; Al Maloomah; Al Mawqif,"On 24 September 2020, the first regiment in the 33rd Brigade of the Popular Mobilization Forces (Quwat Wa'ad Allah), Counter-Terrorism Service Forces and Global Coalition Against Daesh thwarted an infiltration attempt by IS militants in an armed clash that included air and artillery strikes on Kanous Island (Qaryat Kanus al Ulya), south of the city of Mosul. No fatalities/injuries reported by the source.",0,1601329862
