event_id_no_cnty,event_date,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,region,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities
40693,02 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Europe,Ukraine,Donetsk,Yasynuvata,,Spartak,48.079,37.7635,DPR Armed Forces Press Service,"On 2 October 2020, the Ukrainian Forces fired grenade launchers at the positions of the Donbass People's Militia in the area of Spartak, Donetsk.",0
40714,02 October 2020,Battles,Armed clash,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,,Europe,Ukraine,Donetsk,Yasynuvata,,Donetsk Filtration Station,48.1331,37.808,OSCE SMM-Ukraine,"On 2 October 2020, the OSCE SMM observed a total of 18 projectiles/explosions/shots involving unknown weapons in both directions of the frontline near Donetsk Filtration Station.",0
40715,02 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,,,Europe,Ukraine,Luhansk,Stanychno-Luhansy,,Stanytsia Luhanska,48.6543,39.4794,OSCE SMM-Ukraine,"On 2 October 2020, the OSCE SMM observed a total of 2 explosions involving unknown weapons near Stanytsia Luhanska.",0
40716,02 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Luhansk,Luhansk Municipality,,Veselenke,48.6181,39.4487,OSCE SMM-Ukraine,"On 2 October 2020, the OSCE SMM observed a total of 4 explosions involving unknown weapons near Veselenke.",0
40717,02 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Donetsk,Novoazovsky,,Serhiivka,47.1303,37.8365,OSCE SMM-Ukraine,"On 2 October 2020, the OSCE SMM observed a total of 1 explosions involving unknown weapons near Serhiivka.",0
40718,02 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Luhansk,Luhansk Municipality,,Verhunskyi Rozyizd,48.6406,39.4045,OSCE SMM-Ukraine,"On 2 October 2020, the OSCE SMM observed a total of 1 explosions involving unknown weapons near Verhunskyi Rozyizd.",0
40675,02 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Avdiivka Municipality,,Avdiivka,48.1394,37.7497,JFO HQ press centre; OSCE SMM-Ukraine; Ministry of Defence of Ukraine,"On 2 October 2020, the NAF rebel forces fired grenade launchers at the governmental positions near Avdiivka, Donetsk. The OSCE SMM observed a total of 5 projectiles/explosions involving unknown weapons near Avdiivka.",0
40676,02 October 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Volnovasky,,Vodyane,47.1478,37.7881,JFO HQ press centre; Ministry of Defence of Ukraine,"On 2 October 2020, the NAF rebel forces fired small arms at the governmental positions near Vodyane, Donetsk.",0
40689,01 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Europe,Ukraine,Donetsk,Bakhmut,,Dolomytne,48.416,38.1346,DPR Armed Forces Press Service,"On 1 October 2020, the Ukrainian Forces fired grenade launchers at the positions of the Donbass People's Militia in the area of Dolomytne, Donetsk.",0
40690,01 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Europe,Ukraine,Donetsk,Novoazovsky,,Uzhivka,47.1446,37.8563,DPR Armed Forces Press Service,"On 1 October 2020, the Ukrainian Forces fired grenade launchers at the positions of the Donbass People's Militia in the area of Uzhivka, Donetsk.",0
40728,01 October 2020,Protests,Peaceful protest,Protesters (Ukraine),,,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Pecherskyi,50.427,30.5454,Unian,"On 1 October 2020, people protested in Kiev-Pecherskyi against cruel treatment of animals. [size=no report]",0
40711,01 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Donetsk,Yasynuvata,,Donetsk Filtration Station,48.1331,37.808,OSCE SMM-Ukraine,"On 1 October 2020, the OSCE SMM observed a total of 1 explosions involving unknown weapons near Donetsk Filtration Station.",0
40712,01 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Luhansk,Luhansk Municipality,,Veselenke,48.6181,39.4487,OSCE SMM-Ukraine,"On 1 October 2020, the OSCE SMM observed a total of 3 explosions involving unknown weapons near Veselenke.",0
40713,01 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Luhansk,Popasniansky,,Berezivske,48.6712,38.6027,OSCE SMM-Ukraine,"On 1 October 2020, the OSCE SMM observed a total of 1 explosions involving unknown weapons near Berezivske.",0
40644,01 October 2020,Protests,Peaceful protest,Protesters (Ukraine),,,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Pecherskyi,50.427,30.5454,Segodnya,"On 1 October 2020, people blocked a road in Kiev-Pecherskyi in protest against the construction of a residential house. [size=no report]",0
40673,01 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Luhansk,Stanychno-Luhansy,,Stanytsia Luhanska,48.6543,39.4794,Ministry of Defence of Ukraine; JFO HQ press centre,"On 1 October 2020, the NAF rebel forces fired grenade launchers at the governmental positions near Stanytsia Luhanska, Luhansk.",0
40674,01 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Luhansk,Popasniansky,,Orikhove,48.7191,38.5695,JFO HQ press centre; Ministry of Defence of Ukraine,"On 1 October 2020, the NAF rebel forces fired grenade launchers at the governmental positions near Orikhove, Luhansk.",0
40648,01 October 2020,Protests,Peaceful protest,Protesters (Ukraine),Teachers (Ukraine),,,Europe,Ukraine,Ivano-Frankivsk,Bolekhiv Municipality,,Bolekhiv,49.0692,23.8556,24 Channel,"On 1 October 2020, teachers protested in Bolekhiv, Zakarpattia, demanding the payment of salaries. [size=no report]",0
